10:14:8, -188, -212, 8188, 0, 0, 0 
10:14:8, -256, -180, 8008, -2, 94, 7 
10:14:8, -256, -180, 8008, 49, 123, 52 
10:14:8, -244, -132, 8196, 45, 132, 33 
10:14:8, -200, -120, 8200, 36, 137, 30 
10:14:8, -196, -184, 8236, 37, 128, 38 
10:14:8, -272, -156, 8272, 46, 116, 35 
10:14:8, -92, -196, 8240, 30, 131, 40 
10:14:8, -220, -192, 8232, 50, 113, 21 
10:14:8, -208, -172, 8252, 11, 125, 35 
10:14:8, -100, -88, 8296, -1, 104, 65 
10:14:8, -104, -140, 8252, 11, 152, 35 
10:14:8, -240, -160, 8304, 26, 112, 64 
10:14:8, -276, -248, 8236, 39, 117, 48 
10:14:8, -172, -240, 8320, 28, 96, 47 
10:14:8, -92, -192, 8208, 16, 125, 33 
10:14:8, -272, -116, 8300, 36, 125, 44 
10:14:8, -152, -64, 8160, 42, 115, 28 
10:14:8, -116, -196, 8184, 39, 141, 43 
10:14:8, -180, -200, 8180, 35, 129, 35 
10:14:8, -248, -56, 8284, 47, 134, 23 
10:14:8, -68, -128, 8260, 42, 120, 35 
10:14:8, -164, -120, 8220, 17, 116, 31 
10:14:8, -284, -236, 8216, 18, 107, 9 
10:14:8, -148, -212, 8224, 7, 123, 41 
10:14:8, -100, -332, 8204, 30, 129, 26 
10:14:8, -208, -132, 8244, 41, 113, 26 
10:14:8, -112, -132, 8112, 30, 113, 23 
10:14:8, -168, -100, 8240, 41, 108, 38 
10:14:8, -172, -184, 8188, 21, 121, 33 
10:14:8, -124, -160, 8224, 29, 112, 39 
10:14:8, -272, -184, 8240, 23, 100, 26 
10:14:8, -212, -180, 8172, 17, 140, 44 
10:14:8, -204, -188, 8160, 18, 134, 40 
10:14:8, -248, -92, 8284, 11, 104, 24 
10:14:8, -84, -132, 8080, 38, 121, 21 
10:14:8, -168, -248, 8224, 12, 116, 55 
10:14:8, -152, -160, 8336, 23, 126, 60 
10:14:8, -208, -276, 8248, 45, 123, 41 
10:14:8, -160, -100, 8328, 20, 120, 25 
10:14:8, -136, -24, 8276, 22, 122, 25 
10:14:8, -100, -132, 8316, 19, 117, 45 
10:14:8, -160, -204, 8232, 18, 96, 14 
10:14:8, -180, -208, 8092, 14, 123, -4 
10:14:8, -208, -216, 8200, 1, 142, 46 
10:14:8, -312, -156, 8224, 24, 115, 37 
10:14:8, -152, -248, 8236, 19, 117, 43 
10:14:8, -200, -296, 8216, 38, 116, 10 
10:14:8, -84, -132, 8276, 38, 149, 8 
10:14:8, -172, -164, 8264, 19, 118, 23 
10:14:8, -148, -48, 8220, 45, 145, 42 
10:14:8, -56, -168, 8144, 45, 138, 68 
10:14:9, -196, -308, 8212, 31, 106, 27 
10:14:9, -280, -160, 8268, 28, 136, 51 
10:14:9, -216, -152, 8280, 32, 120, 42 
10:14:9, -120, -160, 8160, 33, 130, 23 
10:14:9, -252, -128, 8280, 40, 119, 25 
10:14:9, -204, -104, 8256, 62, 99, 46 
10:14:9, -132, -236, 8232, 44, 124, 9 
10:14:9, -216, -108, 8328, 42, 125, 4 
10:14:9, -152, -252, 8176, 22, 143, 64 
10:14:9, -212, -188, 8252, 9, 120, 29 
10:14:9, -112, -128, 8340, 35, 151, 60 
10:14:9, -248, -68, 8364, 16, 104, 39 
10:14:9, -208, -264, 8340, 42, 142, 21 
10:14:9, -192, -180, 8208, 2, 132, 27 
10:14:9, -172, -196, 8180, 39, 115, 37 
10:14:9, -228, -64, 8236, 6, 139, 22 
10:14:9, -72, -84, 8232, 26, 137, 3 
10:14:9, -228, -252, 8272, 40, 135, 54 
10:14:9, -284, -180, 8216, 19, 128, 34 
10:14:9, -176, -212, 8232, 24, 101, 30 
10:14:9, -80, -228, 8228, 21, 138, 56 
10:14:9, -228, -116, 8240, 18, 139, 22 
10:14:9, -140, -164, 8268, 23, 150, 13 
10:14:9, -308, -180, 8136, 18, 109, 46 
10:14:9, -84, -220, 8196, 2, 84, 50 
10:14:9, -216, -120, 8164, 50, 115, 44 
10:14:9, -228, -140, 8172, 50, 119, 52 
10:14:9, -180, -184, 8248, 16, 127, 17 
10:14:9, -112, -136, 8204, 18, 132, 37 
10:14:9, -172, -156, 8188, 14, 135, 42 
10:14:9, -196, -152, 8232, 50, 118, 35 
10:14:9, -168, -260, 8188, 42, 133, 34 
10:14:9, -244, -148, 8192, 30, 135, 23 
10:14:9, -156, -188, 8068, 28, 118, 35 
10:14:9, -260, -232, 8248, 16, 130, 25 
10:14:9, -108, -76, 8312, 19, 113, 21 
10:14:9, -188, -208, 8220, 23, 126, 5 
10:14:9, -264, -184, 8260, 26, 122, 26 
10:14:9, -156, -220, 8204, 29, 111, 33 
10:14:9, -192, -144, 8352, 30, 99, 18 
10:14:9, -152, -128, 8276, 49, 101, 39 
10:14:9, -204, -112, 8212, 35, 131, 61 
10:14:9, -184, -160, 8232, 28, 142, 49 
10:14:9, -168, -144, 8220, -5, 110, 26 
10:14:9, -236, -8, 8252, 28, 105, 37 
10:14:9, -244, -72, 8288, 18, 118, 26 
10:14:9, -180, -164, 8196, 12, 121, 35 
10:14:9, -208, -72, 8320, 32, 147, 16 
10:14:9, -272, -88, 8272, 38, 130, 58 
10:14:9, -168, -160, 8172, 38, 106, 40 
10:14:9, -152, -268, 8176, 42, 120, 42 
10:14:9, -312, -128, 8348, 9, 128, 4 
10:14:9, -232, -208, 8236, 52, 144, 30 
10:14:9, -168, -208, 8196, 39, 137, 46 
10:14:9, -160, -220, 8372, 66, 133, 39 
10:14:9, -244, -104, 8200, 13, 112, 51 
10:14:9, -232, -276, 8272, 30, 116, 38 
10:14:9, -168, -248, 8216, 52, 130, 4 
10:14:9, -148, -124, 8164, 26, 144, 37 
10:14:9, -204, -104, 8380, 47, 135, 44 
10:14:9, -236, -108, 8192, 46, 125, 41 
10:14:9, -100, -184, 8224, 58, 113, 25 
10:14:9, -236, -108, 8384, 38, 137, 24 
10:14:9, -224, -144, 8300, 26, 85, 0 
10:14:9, -184, -132, 8308, 42, 112, 17 
10:14:9, -176, -180, 8212, 14, 111, 26 
10:14:9, -200, -204, 8132, -12, 123, 24 
10:14:9, -136, -172, 8240, 22, 94, 29 
10:14:9, -224, -80, 8272, 21, 137, 56 
10:14:9, -312, -160, 8200, 42, 137, 48 
10:14:9, -184, -152, 8256, 49, 127, 29 
10:14:9, -168, -84, 8188, 32, 133, 53 
10:14:9, -112, -148, 8260, 24, 148, -12 
10:14:9, -340, -112, 8260, 48, 101, 14 
10:14:9, -204, -68, 8160, 19, 143, 45 
10:14:9, -136, -136, 8192, 28, 115, 41 
10:14:9, -272, -192, 8116, 45, 128, 35 
10:14:9, -192, -188, 8056, 18, 127, 59 
10:14:9, -176, -128, 8308, 24, 108, 18 
10:14:9, -100, -76, 8220, 42, 116, 61 
10:14:9, -236, -156, 8192, 30, 161, 47 
10:14:9, -236, -172, 8192, 37, 123, 67 
10:14:9, -192, -284, 8204, 65, 119, 27 
10:14:9, -164, -264, 8172, 28, 133, 28 
10:14:9, -296, -172, 8156, 27, 132, 28 
10:14:9, -132, -108, 8244, 25, 130, 28 
10:14:9, -72, -164, 8216, 50, 111, 5 
10:14:9, -304, -44, 8280, 35, 128, 33 
10:14:9, -208, -196, 8224, 21, 132, 28 
10:14:9, -124, -292, 8392, 42, 133, 37 
10:14:9, -188, -168, 8212, 23, 157, 35 
10:14:9, -160, -136, 8212, 30, 106, 30 
10:14:9, -236, -88, 8320, 33, 124, 33 
10:14:9, -136, -228, 8276, 41, 103, 54 
10:14:9, -160, -148, 8308, 23, 130, 33 
10:14:9, -248, -160, 8352, 21, 128, 21 
10:14:9, -284, -144, 8260, 21, 129, 34 
10:14:9, -236, -112, 8304, 27, 130, 33 
10:14:9, -224, -200, 8272, 30, 130, 40 
10:14:9, -156, -152, 8208, 47, 112, 41 
10:14:9, -184, -220, 8160, 29, 113, 46 
10:14:9, -240, -124, 8304, 23, 109, 26 
